Company,Recovery
Accordia Life and Annuity Company,3913.0
American General Life Insurance Company,13265.835
Bankers Life and Casualty Company,7052.887500000001
Brighthouse Life Insurance Company,53458.013333333336
CMFG Life Insurance Company,10000.0
Colonial Penn Life Insurance Company,3304.29
Dearborn Life Insurance Company,152000.0
First Penn-Pacific Life Insurance Company,14779.02
Genworth Life and Annuity Insurance Company,576.25
Knights of Columbus,1878.8333333333333
Lincoln Benefit Life Company,15670.0
Metropolitan Life Insurance Company,1625.01
Midland National Life Insurance Company,4221.0
Minnesota Life Insurance Company,37000.0
National Life Insurance Company,814.25
New York Life Insurance Company,24849.2
Northwestern Mutual Life Insurance Company,15000.23
Penn Mutual Life Insurance Company,870.97
Primerica Life Insurance Company,64919.66
ReliaStar Life Insurance Company,148422.63428571427
ReliaStar Life Insurance Company of New York,6988.56
West Coast Life Insurance Company,210.88
Wilco Life Insurance Company,110178.64
