Company,Recovery
21st Century North America Insurance Company,0.0
21st Century Premier Insurance Company,446.65
AAA Life Insurance Company,0.0
ACE American Insurance Company,4134.175384615384
ACE Fire Underwriters Insurance Company,0.0
ACE Property & Casualty Insurance Company,0.0
AGCS Marine Insurance Company,0.0
AIG Assurance Company,239.43
AIG Property Casualty Company,714.8562962962963
AIG Specialty Insurance Company,0.0
AIX Specialty Insurance Company,0.0
AMT Warranty Corp.,0.0
AXA Insurance Company,0.0
AXIS Insurance Company,0.0
Acadia Insurance Company,944.7791666666667
Accendo Insurance Company,0.0
Acceptance Indemnity Insurance Company,0.0
Accident Fund Insurance Company of America,0.0
Accident Fund National Insurance Company,0.0
Accordia Life and Annuity Company,411.89473684210526
Accredited Specialty Insurance Company,0.0
Admiral Insurance Company,0.0
Aegis Security Insurance Company,0.0
Aetna Better Health Inc.,0.0
Aetna Health Inc,176.10052863436124
Aetna Health and Life Insurance Company,392.5806649616368
Aetna Life Insurance Company,2916.559433962264
Agent Alliance Insurance Company,0.0
"Alliance of Nonprofits for Insurance, Risk Retention Group, Inc.",0.0
Allianz Global Risks US Insurance Company,10108.615454545456
Allianz Life Insurance Company of New York,0.0
Allianz Life Insurance Company of North America,262.99632653061224
Allied Insurance Company of America,0.0
Allied Property and Casualty Insurance Company,0.0
Allied World National Assurance Company,0.0
Allied World Surplus Lines Insurance Company,0.0
Allmerica Financial Benefit Insurance Company,56.57733333333333
Allstate Fire and Casualty Insurance Company,399.1017802197802
Allstate Indemnity Company,0.0
Allstate Insurance Company,966.5282891566264
Allstate Northbrook Indemnity Company,0.0
Allstate Property and Casualty Insurance Company,3672.4421929824557
AmGUARD Insurance Company,1802.9002325581396
AmTrust Insurance Company,0.0
AmTrust International Underwriters Limited,0.0
Amalgamated Life Insurance Company,864.0
American Alternative Insurance Corporation,84.66066666666667
American Automobile Insurance Company,3262.828571428571
American Bankers Insurance Company of Florida,2162.8907692307694
American Bankers Life Assurance Company of Florida,1200.0
"American Builders Insurance Company Risk Retention Group, Inc.",0.0
"American Casualty Company of Reading, Pennsylvania",89733.33333333333
American Commerce Insurance Company,1194.604347826087
American Economy Insurance Company,0.0
American Empire Surplus Lines Insurance Company,0.0
American Equity Investment Life Insurance Company,0.0
